Component ID,Component Type,Component Age,Component Specifications,Maintenance Activity,Maintenance Duration,Temperature,Vibration,Pressure,Voltage,Failure Causes,Humidity,Failure History,Maintenance Cost,Rainfall,Mean Time to Repair
C045,Lighting,4,LED 6000 luminious flux,['c1'],6,34.7,0.3,1017,24,Corrosion,59,['F2'],6796,0.2,3
C046,Chain,6,25.4 mm,"['p3', 'c3']",6,38.3,0.2,1019,24,Overloading,65,"['F2', 'F3']",9950,0.9,1
C047,Wheelset,2,Steel,"['p1', 'p3', 'c2']",6,37.9,0.5,1014,24,Lack of Lubrication,57,"['F1', 'F2', 'F4']",11228,0.4,4
C048,Capacitor,3,10000 µF,['p1'],5,27.2,0.1,1014,24,Mechanical Faults,59,['F4'],8432,0.3,8
C049,Heat Exchanger,4,Cooling capacity 10000 BTU,"['c3', 'c2', 'p1']",6,24.7,0.4,1019,24,Lack of Lubrication,61,"['F1', 'F2', 'F4']",10557,0.4,7
C050,Lighting,6,LED 6000 luminious flux,"['c1', 'p2', 'c3']",5,33,0.3,1017,24,Corrosion,60,"['F1', 'F2', 'F3', 'F4']",7539,0.7,7
C051,Lighting,7,LED 6000 luminious flux,"['p1', 'c1', 'p3']",6,26.6,0.4,1010,24,Electrical Faults,60,"['F1', 'F3']",11475,0.7,5
C052,Component Type,8,,"['c3', 'p3', 'c1']",3,29.4,0.4,1016,24,Corrosion,56,"['F1', 'F2', 'F3', 'F4']",9331,0.5,6
C053,Cylinder,3,100 mm,['c2'],8,35.9,0.5,1020,24,Electrical Faults,66,['F1'],5441,0.2,1
C054,Circuit Breaker,9,Thermal,"['c3', 'p3', 'p2']",7,31.3,0.3,1019,24,Corrosion,61,"['F2', 'F3']",5272,0.1,1
C055,Insulator,8,Porcelain,"['c3', 'p2']",2,30.8,0.5,1018,24,Overloading,56,"['F1', 'F2', 'F4']",5928,0.5,5
C056,Chain,2,25.4 mm,"['c2', 'p1']",7,39.3,0.1,1011,24,Corrosion,56,['F3'],9673,0.7,3
C057,Brake Pad,6,,['c1'],7,35.4,0.1,1015,24,Lack of Lubrication,55,['F2'],9916,0.6,10
C058,Fuse,3,,"['c1', 'p1']",3,23.7,0.3,1011,24,Mechanical Faults,55,['F3'],7210,0.9,7
C059,Roller,7,120 mm diameter,"['p1', 'c2', 'p3']",6,36.3,0.2,1020,24,Mechanical Faults,56,"['F1', 'F2', 'F3', 'F4']",9916,0.9,9
C060,Shaft,2,Stainless Steel,"['c1', 'p3', 'c3']",5,33.7,0.1,1015,24,Fatigue,64,"['F1', 'F2', 'F3', 'F4']",11388,0.7,10
C061,Shaft,10,Alloy Steel,"['p2', 'p1']",3,39.7,0.2,1016,24,Overloading,56,"['F3', 'F4']",11563,0.9,10
C062,Transducer,2,,['c1'],3,24.3,0.2,1015,24,Wear and Tear,65,['F4'],5778,0.7,2
C063,Fuse,8,100 A,['p2'],3,27.5,0.2,1013,24,Lack of Lubrication,58,"['F1', 'F2', 'F4']",5576,0.3,5
C064,Throttle,8,,"['p1', 'p2']",5,33.1,0.2,1014,24,Mechanical Faults,66,"['F1', 'F2', 'F3']",11557,0.6,7
C065,Bogie,5,200 tons,"['c1', 'p3']",2,33.7,0.5,1017,24,Fatigue,60,"['F3', 'F4']",6870,0.4,10
C066,Circuit Breaker,6,Magnetic,"['p1', 'c1', 'p3']",3,24.6,0.3,1019,24,Corrosion,57,"['F1', 'F2']",7631,0.5,7
C067,Transducer,6,Pressure,"['c3', 'p1', 'p3']",8,34.1,0.3,1012,24,Wear and Tear,60,"['F1', 'F3']",8813,0.4,2
C068,Roller,4,120 mm diameter,"['p2', 'p3']",3,36.4,0.1,1020,24,Electrical Faults,65,['F1'],8931,0.9,6
C069,Relay,3,Magnetic,['p3'],1,29.2,0.5,1012,24,Overloading,61,"['F3', 'F4']",11977,0.2,7
C070,Converter,4,110 V,"['p1', 'c2', 'p3']",8,34,0.3,1015,24,Mechanical Faults,58,['F3'],8087,0.3,8
C071,Horn,4,120 db,"['c3', 'p3', 'c1']",3,24.6,0.3,1019,24,Overloading,63,['F2'],11145,0.4,7
C072,Wheelset,7,Iron,['p1'],1,37.2,0.1,1016,24,Mechanical Faults,57,"['F1', 'F2', 'F3', 'F4']",11861,0.4,7
C073,Lighting,5,LED 6000 luminious flux,"['c2', 'p1', 'c3']",4,35.3,0.4,1015,24,Corrosion,61,"['F1', 'F4']",7998,0.2,3
C074,Circuit Breaker,10,Thermal,['c1'],6,26,0.5,1015,24,Wear and Tear,66,"['F1', 'F4']",10164,0.3,4
C075,Charger,1,100 V AC,"['p1', 'c2']",5,27.7,0.5,1011,24,Wear and Tear,55,"['F1', 'F2', 'F3', 'F4']",10683,0.2,10
C076,Transducer,10,,['p2'],3,29.3,0.4,1018,24,Mechanical Faults,63,"['F1', 'F2', 'F3', 'F4']",5412,0.5,6
C077,Valve,6,Solenoid Valve,"['c2', 'c1']",4,38.7,0.2,1018,24,Lack of Lubrication,62,['F1'],5983,0.8,6
C078,Bearings,6,Lubricated Bearings,"['c2', 'p2', 'p1']",2,31.6,0.1,1012,24,Electrical Faults,65,"['F1', 'F3', 'F4']",7365,0.5,7
C079,Fuse,8,100 A,['p3'],6,30.6,0.5,1011,24,Corrosion,62,"['F1', 'F2', 'F4']",7163,0.4,4
C080,Converter,6,110 V,['c2'],6,38.1,0.3,1013,24,Fatigue,65,['F4'],7419,0.8,10
C081,Roller,2,120 mm diameter,"['c3', 'c1', 'p1']",4,35.9,0.3,1020,24,Electrical Faults,61,"['F1', 'F2', 'F3']",6545,0.7,10
C082,Circuit Breaker,7,Thermal,['c2'],5,32.4,0.5,1014,24,Fatigue,63,"['F1', 'F3', 'F4']",5732,0.6,5
C083,Circuit Breaker,7,Magnetic,"['p3', 'c3', 'p1']",7,24.6,0.5,1020,24,Fatigue,56,['F1'],8398,0.8,2
C084,Shaft,6,Stainless Steel,['p3'],7,31.2,0.4,1019,24,Electrical Faults,57,"['F1', 'F2', 'F3']",6530,0.1,5
C085,Battery,8,48 V,['c3'],3,36.2,0.4,1014,24,Electrical Faults,56,['F3'],6116,0.1,4
C086,Belt,5,50 mm,['c3'],2,27.7,0.2,1011,24,Wear and Tear,57,"['F1', 'F2', 'F3', 'F4']",7544,0.6,9
C087,Pantograph,6,Copper,"['p3', 'c1']",7,36.3,0.3,1011,24,Lack of Lubrication,65,"['F2', 'F4']",11830,0.1,10
C088,Brakes,6,Disc Brakes,"['c2', 'c1']",1,32.9,0.4,1011,24,Lack of Lubrication,62,"['F2', 'F3']",8982,0.2,9
C089,Fuse,5,100 A,['c2'],7,38,0.5,1020,24,Corrosion,56,"['F1', 'F2']",7385,0.6,2
C090,Converter,2,220 V,"['p1', 'c2', 'c3']",3,24.7,0.1,1012,24,Lack of Lubrication,56,"['F1', 'F2', 'F3', 'F4']",5792,0.8,9
C091,Inverter,5,200 V,"['c3', 'p1', 'c1']",4,37.4,0.5,1015,24,Electrical Faults,66,"['F2', 'F3', 'F4']",7308,0.3,6
C092,Relay,8,Magnetic,['c3'],8,34.6,0.1,1012,24,Lack of Lubrication,65,['F4'],10051,0.6,3
C093,Alternator,1,400 KVA,"['p2', 'p3']",4,33.4,0.1,1013,24,Electrical Faults,59,['F2'],9912,0.5,8
C094,Horn,10,120 db,"['c1', 'c3']",2,33.4,0.5,1018,24,Wear and Tear,59,"['F3', 'F4']",10625,0.8,5
C095,Fuse,2,,"['p3', 'p2', 'c2']",6,33.9,0.1,1012,24,Fatigue,66,"['F1', 'F2', 'F3']",5240,0.8,6
C096,Brake Pad,4,,['c1'],7,24.1,0.5,1014,24,Wear and Tear,59,"['F1', 'F2', 'F3', 'F4']",8405,0.7,6
C097,Shaft,4,Alloy Steel,"['p1', 'c2', 'c3']",1,36.5,0.1,1010,24,Lack of Lubrication,59,"['F1', 'F3']",9217,0.8,6
C098,Valve,10,Pressure Valve,"['p3', 'p2', 'c3']",3,33.6,0.1,1016,24,Lack of Lubrication,55,['F1'],10290,0.2,8
C099,Coupling Rod,2,Alloy Steel,['c2'],3,26.7,0.5,1011,24,Fatigue,62,"['F1', 'F4']",11075,0.8,1
C100,Shaft,10,Stainless Steel,"['c2', 'p1', 'p2']",8,37.4,0.5,1016,24,Lack of Lubrication,62,['F2'],8084,0.4,9
C101,Controller,7,24 V,"['p2', 'c2', 'p1']",1,25.2,0.3,1011,24,Lack of Lubrication,64,"['F1', 'F2', 'F3']",5164,0.4,1
C102,Bogie,1,500 tons,['p2'],3,31.9,0.2,1019,24,Electrical Faults,55,"['F2', 'F3', 'F4']",5639,0.6,9
C103,Chain,1,30.2 mm,"['p2', 'p3', 'c2']",6,36,0.3,1010,24,Mechanical Faults,63,"['F1', 'F2', 'F3', 'F4']",6885,0.6,2
C104,Signaling,9,24 V,['p1'],1,39,0.1,1020,24,Overloading,61,"['F1', 'F2', 'F3']",7549,0.6,1
C105,Air Compressor,4,2000 l,"['c3', 'p2']",3,33,0.3,1016,24,Fatigue,66,"['F1', 'F3']",10129,0.4,1
C106,Belt,6,100 mm,"['c1', 'c3']",1,32.8,0.4,1017,24,Overloading,62,"['F1', 'F2', 'F3', 'F4']",8234,0.4,7
C107,Gear,1,Alloy Steel,"['p1', 'p3']",6,29.4,0.1,1011,24,Overloading,58,['F3'],11397,0.2,3
C108,Bearings,6,Ball Bearings,"['c3', 'p2']",5,24.4,0.2,1012,24,Lack of Lubrication,61,['F4'],11638,0.3,10
C109,Coupling Rod,2,Alloy Steel,"['p3', 'p1']",1,35,0.1,1019,24,Lack of Lubrication,59,"['F1', 'F2', 'F3', 'F4']",7596,0.4,7
C110,Motor,5,30 kW,"['p3', 'c1']",7,33.9,0.4,1012,24,Fatigue,56,"['F1', 'F2', 'F3', 'F4']",8488,0.3,8
C111,Pump,7,1000 l/m,"['c1', 'c2', 'p2']",4,31.3,0.3,1013,24,Corrosion,62,"['F1', 'F2', 'F3', 'F4']",7699,0.4,8
C112,Brakes,4,Disc Brakes,"['p1', 'p3']",1,30.1,0.3,1018,24,Wear and Tear,65,"['F2', 'F3']",11247,0.7,4
C113,Fuse,7,100 A,"['p2', 'c3', 'c1']",7,37.6,0.2,1018,24,Fatigue,63,"['F2', 'F4']",6201,0.1,9
C114,Axle,4,0.5 m,['c2'],7,32.6,0.2,1011,24,Fatigue,65,"['F1', 'F2']",9426,0.3,10
C115,Brake Pad,6,Composite,['c2'],2,28.3,0.5,1014,24,Lack of Lubrication,56,"['F2', 'F4']",8270,0.9,5
C116,Cylinder,1,100 mm,['p2'],4,34.8,0.4,1010,24,Mechanical Faults,59,"['F1', 'F3']",11567,0.5,9
C117,Motor,6,10 kW,"['c2', 'p3']",6,29.5,0.5,1017,24,Wear and Tear,64,['F2'],8269,0.3,2
C118,Track,9,Standard Gauge,['c3'],7,31.9,0.2,1020,24,Overloading,66,"['F1', 'F2', 'F3', 'F4']",5190,0.9,9
C119,Alternator,3,400 KVA,"['p2', 'p3', 'c2']",6,39.8,0.2,1015,24,Wear and Tear,55,"['F1', 'F2', 'F3', 'F4']",10879,0.2,6
C120,Seal,1,Carbon,['p3'],6,34.9,0.5,1015,24,Corrosion,55,"['F1', 'F3', 'F4']",5910,0.4,6
C121,Chain,1,25.4 mm,"['c3', 'p2']",3,35.2,0.2,1013,24,Wear and Tear,59,"['F1', 'F2', 'F4']",9363,0.2,10
C122,Switch,8,Toggle,"['p3', 'c2']",4,30.1,0.3,1020,24,Overloading,56,"['F1', 'F4']",11344,0.1,2
C123,Wheelset,1,,"['c3', 'p1']",3,24.2,0.1,1020,24,Lack of Lubrication,59,"['F1', 'F2', 'F3', 'F4']",10811,0.9,9
C124,Pantograph,7,Aluminium,"['c2', 'p3', 'p2']",8,36.1,0.5,1019,24,Corrosion,64,"['F1', 'F2', 'F3', 'F4']",11911,0.9,9
C125,Throttle,10,Manual,['c2'],1,34.4,0.2,1011,24,Mechanical Faults,63,"['F1', 'F2', 'F4']",7290,0.8,2
C126,Switch,5,,['p1'],7,28.2,0.2,1013,24,Lack of Lubrication,62,"['F2', 'F3', 'F4']",8138,0.8,9
C127,Coupling Rod,2,Carbon Steel,"['c3', 'p3']",6,23.5,0.1,1015,24,Wear and Tear,65,['F4'],7807,0.3,6
C128,Throttle,5,,"['c1', 'c2']",1,37.4,0.4,1019,24,Corrosion,60,"['F2', 'F3', 'F4']",7971,0.2,4
C129,Brakes,4,Hydraulic Brakes,"['p1', 'c2']",3,32.5,0.1,1013,24,Lack of Lubrication,62,['F1'],9435,0.4,9
C130,Inverter,9,500 V,['p3'],4,25.1,0.5,1011,24,Mechanical Faults,60,"['F1', 'F2', 'F3', 'F4']",6930,0.4,10
C131,Valve,9,Solenoid Valve,"['c2', 'c1']",3,31.6,0.4,1013,24,Overloading,66,"['F1', 'F2', 'F3', 'F4']",5755,0.5,6
C132,Capacitor,9,10000 µF,"['p1', 'c1', 'c3']",2,26.1,0.5,1019,24,Electrical Faults,63,['F3'],9899,0.5,4
C133,Motor,1,30 kW,"['p2', 'c2', 'p3']",5,25.3,0.1,1014,24,Lack of Lubrication,64,"['F1', 'F2', 'F4']",8702,0.1,5
C134,Gear,9,Alloy Steel,"['c2', 'p1']",3,39.5,0.3,1016,24,Overloading,55,"['F2', 'F3', 'F4']",6845,0.1,2
C135,Alternator,6,200 KVA,"['c1', 'c2', 'p3']",1,26.1,0.1,1011,24,Wear and Tear,58,"['F1', 'F3']",8228,0.9,4
C136,Lighting,6,LED 5000 luminious flux,"['c3', 'c1', 'p1']",3,36.5,0.3,1016,24,Mechanical Faults,65,"['F1', 'F3']",10774,0.5,3
C137,Converter,2,110 V,"['p1', 'p3']",3,31.6,0.3,1014,24,Wear and Tear,55,['F3'],10899,0.7,5
C138,Transformer,5,3000 KVA,"['p1', 'p3']",4,33.6,0.5,1019,24,Lack of Lubrication,57,"['F1', 'F2', 'F3', 'F4']",10203,0.7,8
C139,Doors,4,Aluminium,"['p3', 'c3', 'c1']",1,32.9,0.5,1014,24,Electrical Faults,55,"['F1', 'F2', 'F4']",9132,0.9,2
C140,Component Type,2,,"['c2', 'p2']",2,26.2,0.1,1011,24,Overloading,58,"['F1', 'F2', 'F3']",9824,0.5,5
C141,Battery,2,,['p1'],6,30.1,0.5,1010,24,Corrosion,65,"['F1', 'F2', 'F3', 'F4']",7081,0.4,2
C142,Charger,2,100 V AC,"['c2', 'c3', 'p1']",3,32.2,0.2,1011,24,Wear and Tear,55,"['F1', 'F2', 'F3', 'F4']",8663,0.1,4
C143,Sensors,7,Pressure,"['c3', 'p1']",8,38.4,0.4,1016,24,Fatigue,58,"['F1', 'F2', 'F3', 'F4']",8698,0.1,1
C144,Circuit Breaker,2,Thermal,"['c3', 'p1', 'c2']",8,35.7,0.4,1018,24,Wear and Tear,60,"['F1', 'F2', 'F3']",5745,0.7,6
C145,Brakes,9,Hydraulic Brakes,"['p2', 'p1']",8,25.9,0.3,1019,24,Overloading,57,"['F1', 'F2', 'F3', 'F4']",10387,0.1,4
C146,Belt,9,150 mm,"['p3', 'p1']",3,35,0.3,1017,24,Mechanical Faults,58,"['F1', 'F2', 'F3', 'F4']",9446,0.8,8
C147,Cooling Fan,3,1000 RPM,"['c2', 'c3', 'p1']",1,32.6,0.4,1012,24,Mechanical Faults,64,['F4'],6714,0.2,6
C148,Panel,9,IP63,['p3'],7,35.3,0.4,1012,24,Corrosion,61,"['F1', 'F4']",9532,0.3,1
C149,Fuse,1,,"['c2', 'p1', 'c3']",5,36.4,0.2,1019,24,Wear and Tear,62,"['F2', 'F4']",7618,0.3,8
C150,Switch,3,,['c1'],1,29.6,0.1,1015,24,Corrosion,62,"['F1', 'F4']",8250,0.6,6
C151,Pantograph,6,Aluminium,"['c3', 'p2']",8,31.9,0.1,1011,24,Overloading,65,"['F2', 'F4']",5803,0.2,2
C152,Seal,6,Silicon,"['c1', 'c3', 'p2']",4,39.6,0.4,1015,24,Overloading,55,"['F1', 'F2', 'F3', 'F4']",8169,0.2,2
C153,Chain,10,20 mm,['p3'],1,32.3,0.3,1016,24,Fatigue,58,['F3'],6355,0.7,9
C154,Signaling,4,48 V,['p3'],5,24.4,0.3,1014,24,Mechanical Faults,60,"['F1', 'F2', 'F3']",10999,0.8,10
C155,Wheelset,3,Iron,['c2'],7,29,0.3,1011,24,Mechanical Faults,58,"['F2', 'F3']",10068,0.8,8
C156,Cylinder,7,150 mm,"['c3', 'c1', 'p1']",7,38.8,0.3,1012,24,Overloading,60,['F2'],11983,0.8,8
C157,Controller,3,48 V,"['p3', 'p2']",2,35.2,0.3,1010,24,Mechanical Faults,56,"['F1', 'F2', 'F3', 'F4']",6702,0.7,6
C158,Coupling Rod,8,Alloy Steel,"['c3', 'c2']",2,29.9,0.2,1017,24,Wear and Tear,62,['F2'],9366,0.9,3
C159,Cylinder,8,100 mm,['p1'],6,23.4,0.1,1012,24,Overloading,66,"['F2', 'F3']",11600,0.5,10
C160,Alternator,6,200 KVA,"['c3', 'p1', 'p2']",2,28.4,0.5,1010,24,Lack of Lubrication,63,"['F1', 'F4']",7221,0.3,4
C161,Relay,7,Electrical,"['p3', 'p2', 'c2']",7,38.6,0.4,1017,24,Corrosion,59,"['F1', 'F2', 'F3', 'F4']",11416,0.5,7
C162,Belt,3,150 mm,"['c2', 'c1', 'p3']",7,30.6,0.3,1019,24,Electrical Faults,56,"['F1', 'F2', 'F3', 'F4']",5953,0.8,9
C163,Filter,2,,"['c2', 'c1', 'p2']",5,30.5,0.2,1010,24,Overloading,66,['F3'],11400,0.2,1
C164,Transducer,5,,['c3'],3,30.6,0.1,1018,24,Electrical Faults,63,"['F1', 'F4']",9023,0.1,9
C165,Brake Pad,2,Composite,"['p3', 'c2']",7,34.2,0.5,1017,24,Corrosion,57,['F2'],7464,0.1,10
C166,Brake Pad,8,Composite,['c2'],5,27.5,0.3,1017,24,Electrical Faults,57,"['F1', 'F2', 'F3', 'F4']",10249,0.5,8
C167,Transformer,4,3000 KVA,"['p2', 'p3']",5,37.7,0.2,1020,24,Electrical Faults,56,"['F1', 'F2', 'F3', 'F4']",7800,0.2,4
C168,Air Compressor,2,1500 l,"['p2', 'p3', 'p1']",8,29.5,0.5,1012,24,Fatigue,60,['F3'],9575,0.7,2
C169,Converter,5,220 V,"['c3', 'c2', 'p2']",1,39.6,0.1,1019,24,Lack of Lubrication,59,['F1'],8101,0.5,8
C170,Valve,9,Pressure Valve,['c2'],3,32.1,0.4,1016,24,Electrical Faults,57,['F4'],6981,0.5,4
C171,Cooling Fan,5,500 RPM,"['c2', 'p1']",5,39.6,0.5,1019,24,Electrical Faults,55,"['F1', 'F2', 'F3', 'F4']",7466,0.8,1
C172,Axle,1,1.5m,"['p2', 'p3']",7,24.2,0.2,1017,24,Overloading,56,"['F1', 'F2', 'F3', 'F4']",9836,0.5,3
C173,Motor,10,30 kW,"['c3', 'c1']",8,31.1,0.4,1010,24,Electrical Faults,62,"['F1', 'F2', 'F3', 'F4']",6717,0.1,5
C174,Lighting,8,LED 6000 luminious flux,"['c2', 'c3']",8,37.7,0.2,1018,24,Lack of Lubrication,64,['F4'],6813,0.6,5
C175,Fuse,1,100 A,"['p3', 'c3', 'c1']",4,34.2,0.1,1017,24,Fatigue,62,"['F1', 'F2', 'F3', 'F4']",9262,0.8,5
C176,Track,5,Broad Gauge,"['c1', 'p1', 'c2']",5,30.6,0.4,1018,24,Mechanical Faults,60,['F1'],6468,0.3,4
C177,Fuse,7,,"['c2', 'c1', 'p3']",1,33.8,0.2,1014,24,Mechanical Faults,65,['F1'],6231,0.7,8
C178,Wheelset,1,,['c3'],7,31.8,0.2,1017,24,Overloading,56,"['F3', 'F4']",6861,0.5,10
C179,Cooling Fan,10,500 RPM,"['p2', 'c3', 'c2']",3,37.1,0.4,1020,24,Wear and Tear,63,"['F3', 'F4']",8300,0.6,6
C180,Track,9,Narrow Gauge,"['c1', 'c2']",7,37.7,0.5,1018,24,Corrosion,57,['F4'],7136,0.6,8
C181,Axle,4,0.5 m,"['c1', 'p3']",7,29.1,0.4,1016,24,Wear and Tear,57,"['F1', 'F2', 'F3', 'F4']",10370,0.8,8
C182,Resistor,4,10 ohms,"['p2', 'c2', 'c1']",2,23.7,0.1,1019,24,Wear and Tear,62,"['F1', 'F2', 'F3', 'F4']",10843,0.5,3
C183,Panel,1,,"['c2', 'p2']",3,27.6,0.4,1019,24,Corrosion,65,"['F2', 'F4']",5368,0.7,8
C184,Switch,10,Toggle,"['c1', 'p2']",5,39.7,0.4,1016,24,Mechanical Faults,66,['F2'],10025,0.7,10
C185,Battery,5,48 V,"['c1', 'c2', 'p1']",8,37.4,0.4,1014,24,Electrical Faults,57,"['F1', 'F2', 'F4']",5208,0.1,1
C186,Brake Pad,3,Composite,['p1'],1,29.8,0.1,1018,24,Electrical Faults,61,"['F1', 'F2', 'F3', 'F4']",11352,0.1,4
C187,Pantograph,8,Silver,"['p1', 'c1']",4,36,0.2,1015,24,Electrical Faults,60,"['F1', 'F2']",9235,0.9,8
C188,Chain,4,30.2 mm,"['p3', 'c2', 'c1']",3,38.4,0.4,1014,24,Electrical Faults,58,"['F2', 'F3']",10769,0.5,3
